noteId,raterParticipantId,createdAtMillis,version,agree,disagree,helpful,notHelpful,helpfulnessLevel,helpfulOther,helpfulInformative,helpfulClear,helpfulEmpathetic,helpfulGoodSources,helpfulUniqueContext,helpfulAddressesClaim,helpfulImportantContext,helpfulUnbiasedLanguage,notHelpfulOther,notHelpfulIncorrect,notHelpfulSourcesMissingOrUnreliable,notHelpfulOpinionSpeculationOrBias,notHelpfulMissingKeyPoints,notHelpfulOutdated,notHelpfulHardToUnderstand,notHelpfulArgumentativeOrBiased,notHelpfulOffTopic,notHelpfulSpamHarassmentOrAbuse,notHelpfulIrrelevantSources,notHelpfulOpinionSpeculation,notHelpfulNoteNotNeeded,ratedOnTweetId,ratingSourceBucketed,coreRaterFactor1,coreRaterIntercept,tweetId
1990122092356907215,63DEF176B7B0B9BE4736AB13D3FD9FD9420AB9B9EA9B42EB4F94BB093034E2AC,1763421625042,2,0,0,0,0,HELPFUL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989834247872680239,DEFAULT,0.60148287,0.26641315,1989834247872680239
1990383100988133702,63DEF176B7B0B9BE4736AB13D3FD9FD9420AB9B9EA9B42EB4F94BB093034E2AC,1763421611905,2,0,0,0,0,HELPFUL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989834247872680239,DEFAULT,0.60148287,0.26641315,1989834247872680239
1990478828544651766,63DEF176B7B0B9BE4736AB13D3FD9FD9420AB9B9EA9B42EB4F94BB093034E2AC,1763421648561,2,0,0,0,0,HELPFUL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989834247872680239,DEFAULT,0.60148287,0.26641315,1989834247872680239
1987248025249435799,C577B46100166E24511512C9B860DAEE2C81DA38C0AB42D00D3CDC75DF0A6159,1762651173679,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987233663281697247,DEFAULT,-0.27548087,-0.025367342,1987233663281697247
1987338339012198490,C577B46100166E24511512C9B860DAEE2C81DA38C0AB42D00D3CDC75DF0A6159,1762706929517,2,0,0,0,0,HELPFUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987233663281697247,DEFAULT,-0.27548087,-0.025367342,1987233663281697247
1989753764207878209,4A94A55A9E78DB7F65D3E32A8DE9330B7E58AF28413570B0D49BF32A4AD20213,1763245925172,2,0,0,0,0,HELPFUL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989527625845391560,DEFAULT,0.46496552,0.122306466,1989527625845391560
1989800135627567513,4A94A55A9E78DB7F65D3E32A8DE9330B7E58AF28413570B0D49BF32A4AD20213,1763245947326,2,0,0,0,0,HELPFUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989527625845391560,DEFAULT,0.46496552,0.122306466,1989527625845391560
1989807364971573451,4A94A55A9E78DB7F65D3E32A8DE9330B7E58AF28413570B0D49BF32A4AD20213,1763245937947,2,0,0,0,0,HELPFUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989527625845391560,DEFAULT,0.46496552,0.122306466,1989527625845391560
2001333973000093987,0FA66BAFD58EEF0AA5C606A8A728DBD704A6DA51C259E3A3E103E70DD2539512,1766046240618,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2001256018827993460,DEFAULT,-0.4025737,0.3219125,2001256018827993460
2001381305657798778,0FA66BAFD58EEF0AA5C606A8A728DBD704A6DA51C259E3A3E103E70DD2539512,1766046227679,2,0,0,0,0,HELPFUL,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2001256018827993460,DEFAULT,-0.4025737,0.3219125,2001256018827993460
