noteId	noteIndex	internalNoteIntercept	internalNoteFactor1	numRatings
1991583500487581772	0	0.34087506	0.4771445	56
2005630306674491606	1	0.47270855	0.14649081	55
1990122092356907215	2	0.4354158	-0.15837811	43
1990383100988133702	3	0.44694537	-0.28301218	43
1990478828544651766	4	0.2710624	-0.42355874	43
1987248025249435799	5	0.20629066	-0.4684076	51
1987338339012198490	6	0.45475385	-0.24634887	51
1989753764207878209	7	0.14818583	-0.25265658	3
1989800135627567513	8	0.14885494	-0.2534487	3
1989807364971573451	9	0.14755006	-0.25195	3
1986487190990336074	10	0.09559365	0.6660123	75
2006577983096562116	11	0.20695812	-0.37350622	72
1994189730829791560	12	0.23954348	0.20559637	25
1996226262654767441	13	0.44496188	0.18954796	130
1998039940236505350	14	0.42113417	0.04824642	18
2001333973000093987	15	0.41832584	0.25385135	64
2001381305657798778	16	0.4489186	0.16545008	64
1992959675457749475	17	0.45521832	-0.0045284685	46
1992976245340897633	18	0.41414425	-0.24278362	29
1998418451359293753	19	0.2213336	-0.60234284	26
1998492501053764086	20	0.22142763	-0.6029251	26
2002400947079651434	21	0.16653807	0.31302413	3
2002401332569797052	22	0.16226065	0.31064594	3
1999489445238550755	23	0.45961222	-0.09008095	23
1994017614662639731	24	0.27200162	-0.54550105	55
1994084648087888226	25	0.20941176	-0.5995344	55
1989329835978641830	26	0.35383418	-0.38193086	25
1989397051398889897	27	0.35190776	-0.38013026	25
2001754653625635002	28	0.402036	-0.16520934	23
1989745359732559873	29	0.4231084	-0.2948793	47
1990851750681546869	30	0.036689274	-0.17798339	11
1985851948893958476	31	0.3615252	0.5651501	270
1989039862612103438	32	0.3098712	-0.41120502	45
1994827231143592291	33	0.25017598	0.30980864	20
1999526488178032824	34	0.41438308	-0.10886801	32
2005430299459551600	35	0.4167001	0.07294317	28
1989444230486298862	36	0.40766317	-0.39537466	89
2007945136286662985	37	0.3777182	-0.26979375	35
2010718200258777159	38	0.46058252	-0.2634419	71
1995958769927282840	39	0.18642393	-0.24382122	14
1987924420585783615	40	0.48657668	-0.0059290826	58
1998838914291831248	41	0.3158602	0.12306835	9
1994194515339489430	42	0.39905468	0.3010213	47
1985259146262843608	43	0.047613636	-0.6786147	29
1985277756444164220	44	0.035518944	-0.68150175	29
1985356966131028385	45	-0.085451014	0.082994536	29
1985360180582797767	46	0.18673147	0.69199276	29
1989818233038213493	47	0.42572087	-0.13398232	32
1986481108825870669	48	0.31658268	0.32686907	19
1989818725340414040	49	0.22441405	0.6249778	42
1989838895475745134	50	0.2088478	0.6504659	42
